id,play_date,score_rate,chip_rate
1,20241228,100,200
2,20241004,100,200
3,20240927,100,200
4,20240921,100,200
5,20240920,100,200
7,20240831,100,200
8,20240816,100,200
9,20240812,100,200
10,20240812,100,200
11,20240727,100,200
12,20240719,100,200
13,20240713,100,200
14,20240621,100,200
15,20240616,100,200
16,20240609,100,200
17,20240505,100,200
18,20240504,100,200
19,20240426,100,200
20,20240308,100,200
21,20240106,100,200
22,20240103,100,200
23,20231228,100,200
24,20231222,100,200
25,20231202,100,200
26,20231122,100,200
27,20231110,100,200
28,20231103,100,200
29,20231028,100,200
30,20231020,100,200
31,20231007,100,200
32,20230923,100,200
33,20230826,100,200
34,20230819,100,200
35,20230814,100,200
36,20230810,100,200
37,20230804,100,200
38,20230701,100,200
39,20230623,100,200
40,20230527,100,200
41,20230512,100,200
42,20230505,100,200
43,20230428,100,200
44,20230421,100,200
45,20230331,100,200
46,20230303,100,200
47,20230222,100,200
48,20230218,100,200
49,20230210,100,200
50,20230108,100,200
51,20221217,50,100
52,20221119,100,200
53,20221007,50,100
54,20220924,100,200
55,20220918,50,100
56,20220605,50,100
57,20220604,50,100
